,group_id,group_name,group_des,group_risk_id
0,93dce890-b68b-470b-92a1-766e34c9f98c,Boston,Market,
1,cccc85de-85e6-47ce-9aba-f49ba7327b7c,New York - Manhattan,Market,
2,c79ff554-4b8f-4749-bb33-0852480b9099,Washington DC,Market,
3,c185fff5-b352-4017-8c6c-8f8127d8e9a5,Los Angeles,Market,
4,9fc1e05f-fd7a-4eb0-ae23-1e615112bf30,Seattle,Market,
5,fd3a0d53-31f8-4d9c-b2ff-b162617db4a4,Denver,Market,
6,b6cd4549-d745-4c65-ad6f-39b3df04fa1f,San Francisco Bay Area,Market,
7,0d0db979-2d2b-4da8-8eba-ebecd518dba7,Atlanta,Market,
8,bd2f9855-3208-4ed2-95cf-e738526174bb,Austin,Market,
9,e723befb-5db2-468d-8783-155a45597d27,Dallas/Ft. Worth,Market,
10,f9c66286-50ee-43b2-8dfe-821a55b927e3,San Diego,Market,
11,722e6223-042d-4dd3-bc26-c82a1d185cdd,Orange County,Market,
12,badbd903-fb24-484d-a181-03cd23197a3d,EQR Portfolio,Portfolio,
