,group_id,group_name,group_des,group_risk_id
0,f159786e-2d64-46dc-a7e3-dea51434ec5b,Boston,Market,
1,fc4e04bc-0f17-4e21-ba0d-db0975db6a07,New York - Manhattan,Market,
2,c500d40d-f1bd-43b6-a158-17740ad4d3d0,Washington DC,Market,
3,af3b640d-f7b5-4812-8b63-cb583709c48e,Los Angeles,Market,
4,fd1787ad-e918-46c2-a8bf-87fa2e9a96f5,Seattle,Market,
5,bcb5526a-fa9d-4a22-9332-159de6907a1e,Denver,Market,
6,432dc157-c602-4e2a-8f9c-22f7d70bab30,San Francisco Bay Area,Market,
7,a3ed8db8-7799-4e85-9338-90b550311cb0,Atlanta,Market,
8,32e1a9e3-984e-4046-bc7a-eddbd8dc900a,Austin,Market,
9,420ec07c-65e1-4d98-8ebc-b53cfa237732,Dallas/Ft. Worth,Market,
10,3d88a2d7-d78b-4e84-8729-4a43caa2ecb7,San Diego,Market,
11,b945783a-aeb5-4243-ae60-c76821429d78,Orange County,Market,
12,cdf42c08-80f3-4a4a-b218-4beab4142faa,EQR Portfolio,Portfolio,
