,group_id,group_name,group_des,group_risk_id
0,64c09808-5f6c-4a5f-9e4b-ed75708ebfad,New York - Manhattan,Market,
1,e1549032-e01f-43d1-a943-b3dd653b330e,Washington DC,Market,
2,f1100b1d-e834-4be7-9e93-2885225a7b09,Los Angeles,Market,
3,fa5f76d0-f503-4ab1-afe4-aff67c524756,Seattle,Market,
4,585109a4-ed78-4419-9c4b-a76954797f26,Denver,Market,
5,d26148f3-84f3-4b04-a32d-92fd55c2b9dd,San Francisco Bay Area,Market,
6,d164572c-ae8f-49b4-a7f2-4a02b10755f9,Atlanta,Market,
7,8dc25878-71ea-4a65-81ce-8a4e02e5b8c7,Austin,Market,
8,6a2681ab-2f5f-47ea-92a8-c3d131aecc1f,Dallas/Ft. Worth,Market,
9,70e5ecc3-c85e-41fd-830b-5df29b2e38ef,San Diego,Market,
10,8dc3aded-631c-4f7e-a857-6246103cca9e,Orange County,Market,
11,276d3654-9892-47ab-ad03-fcf33551aee9,EQR Portfolio,Portfolio,
