,group_id,group_name,group_des,group_risk_id
0,254a11ba-6cd1-45fd-8ef1-f9b79cfb8897,Boston,Market,
1,088f306e-a344-4aba-ba9c-d442fb1d8fc2,New York - Manhattan,Market,
2,495c528d-c4d0-4184-a63f-6616b7fe2ff0,Washington DC,Market,
3,c04b0705-e5bf-467f-a364-d85678077776,Los Angeles,Market,
4,03bfb01a-a76b-49b1-979c-5d2fc76575de,Seattle,Market,
5,a13d6eac-5f50-4860-803e-c8b44852d771,Denver,Market,
6,16b19331-8164-4eb4-9764-f8e0edc290b3,San Francisco Bay Area,Market,
7,ef84b112-342e-418b-91b5-0b0dd0f97e19,Atlanta,Market,
8,9f0901f5-d33c-4bd7-b387-f8f748dfb706,Austin,Market,
9,d96451ea-1543-4132-be76-4fb870b732e9,Dallas/Ft. Worth,Market,
10,613e4cbc-cb1f-4c90-8e93-d6ad1a4e82d2,San Diego,Market,
11,5e7c2372-60a6-4110-ac92-95f1e9051ca0,Orange County,Market,
12,88162616-092e-4807-9372-b99f7e0a1146,EQR Portfolio,Portfolio,
