,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2030,Flood Hazard 2030,Flood Risk 2050,Flood Hazard 2050,Extrem Heat Risk 2022,Extrem Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
13,9965ae23-99f5-46e6-86c5-1b9c9bb9b3ca,c2d61599-205c-4aa8-8f4b-5c30e58538b6,5b859d24-3a49-4a24-b6dd-91d2dd5fba28,a5124f52-ad8f-4945-ae1f-e33c5096b4ee,,19178,Ten23,500 W. 23rd Street,New York,NY,New York,10011,New York - Manhattan,Manhattan-Chelsea,1,2011,High-Rise,111,40.74768257,-74.00421173,76880.0,PRIMARY_USE_RETAIL,137,13.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low-Medium,High,Low-Medium,High,Low-Medium,High,Very Low,Moderately High,Very Low,Moderately High
14,bdd6ba6d-d532-4df7-8fb4-8052067b1ac9,05655fd1-1c0a-4969-b2bd-de2cbcab7f46,f732cd67-0938-420c-90fc-ecd2523c261a,35d3a708-79f9-46e7-bf96-7cc0dafdf47c,,19179,Parc 77,50 West 77th Street,New York,NY,New York,10024,New York - Manhattan,Manhattan-Upper West Side,1,1903,High-Rise,137,40.780464,-73.975879,73643.0,PRIMARY_USE_OFFICE,138,14.0,Very Low,Low,Low,Moderately High,Low,Moderately High,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
15,ff45d49b-095e-4b05-aa6d-8111d3116f2f,bbdcd93a-0b50-45d9-894a-2b77bb8296d9,50571508-4ced-4fc8-a8ee-9fe0fe58bb96,c0857776-e0f7-4007-9c20-018835491a64,,19180,Parc Cameron,41 West 86th Street,New York,NY,New York,10024,New York - Manhattan,Manhattan-Upper West Side,1,1927,High-Rise,166,40.786056,-73.97119,78374.0,PRIMARY_USE_FOOD_SERVICE,173,17.0,Very Low,Low,Low,Moderately High,Low,Moderately High,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
16,110f8329-2489-44ca-b374-75e97bd53df6,1ca58acf-9b2d-4306-b1f8-a2c6ffc319c9,3b7dd702-95d8-403a-a895-0adbb1488426,893dd9d1-b84b-4d20-8072-b7e7cb03242c,,19183,Parc Coliseum,228 West 71st Street,New York,NY,New York,10023,New York - Manhattan,Manhattan-Upper West Side,2,1910,High-Rise,177,40.778508,-73.983488,94190.0,PRIMARY_USE_HEALTHCARE,191,16.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
17,28efb56b-5879-49ff-ad71-eaad5c0bc4ea,3610a9d5-ea00-4127-ac53-add32232ec0e,e2990179-0f5b-4185-bd40-fef340d4017d,4d820462-f407-445a-b54a-7df8e298bfcb,,19206,Sheffield Court,701 North Wayne Street,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,37,1986,Garden,597,38.88207266,-77.08600831,394256.0,PRIMARY_USE_RESIDENTIAL,645,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
18,a780c1d6-f25f-4383-8925-4a1260de45ee,60d67f8b-2460-42b5-b226-96dbdf20cbca,e0bfdae5-07e5-4fe4-97d3-2e1fde747f4a,835bf83f-9ec6-4545-a805-0860da5d3672,,19216,The Reserve at Fairfax Corner,11727 Fairfax Woods Way,Fairfax,VA,Fairfax,22030,Washington DC,VA-Fairfax,50,2001,Garden,652,38.85807926,-77.35362829,616722.0,PRIMARY_USE_RESIDENTIAL,1044,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
19,7bc7fb6b-34b8-45df-9f6d-5366fffcf286,450c4e16-33e3-4950-baaa-f85c0b2c54d5,63d6d533-54a7-4408-8f47-82f5bf0fd146,370023bc-e56a-4dc0-913e-fb3ca6b2e9fc,,19217,The Reserve at Eisenhower,5000 Eisenhower Avenue,Alexandria,VA,Alexandria City,22304,Washington DC,VA-Alexandria,5,2002,Mid-Rise,226,38.80325817,-77.11920786,227897.0,PRIMARY_USE_RESIDENTIAL,356,5.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,High
20,f6f1a3a4-53e6-48ab-97bb-cab7baba8cba,3eb74add-e466-434e-85d4-ac520ef19f36,d8d8ec39-0c09-4884-9631-22e0d3e13bb5,2af9d82b-c979-4c8f-ad25-da90e788ea6a,,19221,1210 Mass,1210 Massachusetts Avenue,Washington,DC,District of Columbia,20005,Washington DC,DC-Central,1,2004,High-Rise,144,38.904376,-77.028222,130479.0,PRIMARY_USE_RETAIL,213,13.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
21,5e71be69-f9ed-47d0-8970-12c5cdc9c514,d369cdb4-0e4c-4107-9986-d1070e1fa8e5,cbdc62d4-81b6-4de4-805b-09be52a793b6,388b764e-5004-42ba-b273-39f08d409acd,,19223,2400 M,2400 M Street NW,Washington,DC,District of Columbia,20037,Washington DC,DC-Central,1,2006,Mid-Rise,359,38.90529368,-77.05143916,330088.0,PRIMARY_USE_FOOD_SERVICE,439,10.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
22,21903ab1-5696-42bc-b2ca-2ba966f93894,5a447226-d382-4a63-944c-b7d637f2fd10,50d3eaf8-9586-46d2-a3b5-08f4de88aadc,1fc5b2a9-0883-4a03-8e74-3b3554e01852,,19224,Reserve at Potomac Yard,3700 Richmond Hwy,Alexandria,VA,Alexandria City,22305,Washington DC,VA-Alexandria,2,2002,Mid-Rise,588,38.83794802,-77.05205388,514532.0,PRIMARY_USE_RESIDENTIAL,824,5.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,Moderately High,Very Low,High
23,dc21eb1c-ee2c-49df-b567-a4b6125af07f,69986b4a-2dc7-4dca-8341-023d9886018d,bed00ea0-2271-4894-836d-26ea413cdea0,1d76cf51-119a-4b4e-b393-d410c7320806,,19225,Carlyle Mill,2201 Mill Road,Alexandria,VA,Alexandria City,22314,Washington DC,VA-Alexandria,4,2002,Mid-Rise,317,38.799884,-77.06741,303201.0,PRIMARY_USE_RESIDENTIAL,496,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,High
