,group_id,group_name,group_des,group_risk_id
0,45ee728f-a33b-4293-b307-420b83738cc5,Boston,Market,
1,1ace72a1-b367-4d01-81ea-917ab978b45b,New York - Manhattan,Market,
2,c6f38507-7403-444b-bf83-0153d789c272,Washington DC,Market,
3,579d7bc0-7f19-4a46-95a5-eb46888becf1,Los Angeles,Market,
4,4ce1384c-068c-4345-bef8-89426160bb09,Seattle,Market,
5,68c88567-e739-4e4e-96f7-aea13b831163,Denver,Market,
6,4e63f1c2-ddd0-4443-af60-ec1d9fd8fa8f,San Francisco Bay Area,Market,
7,6eff4666-3f95-457e-a732-0179809ec161,Atlanta,Market,
8,e4e224d1-bc50-4354-9b4a-6169052cd9e1,Austin,Market,
9,cac57ee6-e67f-496a-a756-f2df92020949,Dallas/Ft. Worth,Market,
10,9a2449cc-1fec-41e4-b3f4-f24656f0c5f3,San Diego,Market,
11,eed53afa-46e6-40ab-90f3-43e38b7aa3e7,Orange County,Market,
12,63eb2250-ea1c-48e2-b98b-2253123b0a99,EQR Portfolio,Portfolio,
