,group_id,group_name,group_des,group_risk_id
0,7dc4e63d-3da6-44dc-aad0-6ab760268592,New York - Manhattan,Market,
1,528a0b83-e740-4206-b142-b4b8bbb19339,Washington DC,Market,
2,9edae927-714c-4539-8636-c8d6ef3eb5cc,Los Angeles,Market,
3,9a1d5224-8e6a-47c5-8b53-0098c2a225f4,Seattle,Market,
4,9122c8a1-d543-4e1f-9c7b-b2cc40469305,Denver,Market,
5,1d332518-8752-4ed9-a4df-25d6420967ae,San Francisco Bay Area,Market,
6,38b9f361-7696-4ad3-85eb-6e6fd7965c34,Atlanta,Market,
7,90dd5442-eb46-4546-9900-702975506986,Austin,Market,
8,15d1c387-6f89-4805-a3f8-24425469e6b4,Dallas/Ft. Worth,Market,
9,39a5ee1c-ce88-4e90-bc02-5197f21278c1,San Diego,Market,
10,200aff1f-81e5-47b1-9fcb-d200d9ad5170,Orange County,Market,
11,2dcb9653-f51d-4b1e-81a5-4260c90b483f,EQR Portfolio,Portfolio,
