,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Wildfire Risk 2022,Wildfire Risk 2050,Flood Risk 2022,Flood Risk 2030,Flood Risk 2050
43,5de4eb88-1ed6-46e5-a8f4-bfaa393390f0,dd4e915f-49dc-44fd-be99-8bab859868d0,bc78d10e-22a7-45ae-bc6d-5d7457186cb1,ffd2d331-dac2-4887-991b-2cb909b55878,,29184,Skycrest,27800 N. McBean Parkway,Valencia,CA,Los Angeles,91354,Los Angeles,Santa Clarita Valley,19,1999,Garden,264,34.44655761,-118.5532632,-1,PRIMARY_USE_RESIDENTIAL,396,3.0,Not Assessed,Very Low,Very Low,Very Low,Very Low,Very Low
44,f1c1dab1-e450-4c5c-ab0f-70810802e972,d1dfab26-8d27-49fb-8e5d-20620df44407,ab6e4ec5-d8a5-41c1-a6ea-82dc3a932de4,7ae458fc-6874-4bf7-a8c1-9462a32fe6e1,,29186,Northglen,23516  W. Magic Mountain Parkw,Valencia,CA,Los Angeles,91355,Los Angeles,Santa Clarita Valley,15,1988,Garden,234,34.41505696,-118.5463803,-1,NONE,345,2.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
45,39ca7348-5049-4866-9374-13b2eb352e95,d1738095-cae9-4891-90c4-004aeca5a380,8566c786-9bbd-4fe9-bad6-04185f16a295,bfb12e63-e4fb-4e94-84dd-7ffd2df16727,,29190,Westside Beloit,C on Pico,Los Angeles,CA,Los Angeles,90064,Los Angeles,West Los Angeles,1,1999,Mid-Rise,21,34.040594,-118.442335,-1,NONE,36,4.0,Not Assessed,Very Low,Very Low,Medium,Medium,Medium
46,6f36fe1e-a1e3-4943-ab39-659e4f51ba7d,823a5ea9-dae8-480b-b9b5-de3757a0ed36,d02faeda-1caf-460d-bb16-694ecff5f464,5be093c7-f410-4f7a-b801-939c47c631b7,,29213,Virgil Square,411 South Virgil Avenue,Los Angeles,CA,Los Angeles,90020,Los Angeles,Hollywood/Mid Wilshire,2,1979,Mid-Rise,142,34.06653837,-118.2870329,-1,PRIMARY_USE_RESIDENTIAL,164,4.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
47,b875968d-7297-4c51-b426-33659958c1d3,04c36bc1-c8a9-40bf-88bf-9da33f63c751,49eb2a62-746c-48ab-b288-8e7d75df89e5,4128e1bb-7cb0-4f97-a007-f6aee2a91570,,29215,The Oaks,27105 Silver Oak Lane,Santa Clarita,CA,Los Angeles,91387,Los Angeles,Santa Clarita Valley,67,2000,Garden,520,34.40565043,-118.4556019,-1,PRIMARY_USE_RESIDENTIAL,939,3.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
48,8c4f860e-56f5-4af0-a9f6-17ca6018dd5c,f660af59-d0d9-41dd-bb33-6516e71edac5,e8d025d5-a40b-4a11-8581-876fccd0f0db,36ce310d-a520-44d1-8ff2-cc390a4ee209,,29221,Jia,639 N. Broadway,Los Angeles,CA,Los Angeles,90012,Los Angeles,Downtown CBD,1,2014,Mid-Rise,280,34.05986,-118.239986,-1,PRIMARY_USE_FOOD_SERVICE,335,8.0,Very Low,Very Low,Very Low,Low,Low,Low
49,8a24c36a-e69a-47d5-be50-167ef92f5ce3,0b3eafb7-fdda-42a6-aa5a-c08950e1ff7f,38d7500f-dfaf-46af-af6d-1ccbc4d00868,198b8173-64b7-4aae-9df2-2f1aed94a5f2,,29229,Bella Vista at  Warner Ridge,6150 DeSoto Avenue,Woodland Hills,CA,Los Angeles,91367,Los Angeles,San Fernando Valley,20,2003,Mid-Rise,579,34.18175683,-118.5904026,-1,PRIMARY_USE_RESIDENTIAL,916,4.0,Not Assessed,Very Low,Very Low,Low,Low,Low
50,0c3a7dc6-344e-4ef1-a123-43bd861897a3,fb871ebc-c6bd-49c1-960a-1c13ff5753a3,2f62b1cb-0499-492d-a4af-2a773af44157,e7119038-ce4d-4747-8c0b-d587baf7e1b7,,29238,Academy Village,5225 Blakeslee Avenue,North Hollywood,CA,Los Angeles,91601,Los Angeles,San Fernando Valley,1,1989,Mid-Rise,248,34.165445,-118.372476,-1,PRIMARY_USE_RESIDENTIAL,347,6.0,Very Low,Very Low,Very Low,Low,Low,Low
51,85d5023b-015c-4007-87d1-234af61db05c,d3d288a1-39ef-47b9-9957-6123267c4cf4,2f8b8dc2-68d2-4366-a142-f83287301d21,35f3e3c5-52ae-4ccf-bc3d-f67f4908c9a8,,29247,Kenwood Mews,230 North Kenwood Street,Burbank,CA,Los Angeles,91505,Los Angeles,San Fernando Valley,7,1991,Mid-Rise,141,34.155023,-118.34316,-1,PRIMARY_USE_RESIDENTIAL,220,4.0,Very Low,Very Low,Very Low,Low,Low-Medium,Medium
52,8186e5e7-66f7-4acd-8a14-b1346186f429,0b96339e-8ad1-457d-a51c-6460b419239d,6ed2daad-a365-40d0-946e-abf75e214f7e,45f8c8d1-a8a3-46ff-a5ca-8e12ed68b968,,29252,Victor on Venice,10001 Venice Blvd,Los Angeles,CA,Los Angeles,90034,Los Angeles,West Los Angeles,1,2006,Mid-Rise,116,34.023001,-118.399598,-1,PRIMARY_USE_RESIDENTIAL,152,5.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
