,group_id,group_name,group_des,group_risk_id
0,233c2ebc-a974-4966-9156-3717be5fb936,New York - Manhattan,Market,
1,56372e19-8682-4dc8-b555-bfeef687c77c,Washington DC,Market,
2,20f09c58-5c60-4d41-b51e-00595c8cb9ba,Los Angeles,Market,
3,c1783d33-8aca-4ac3-aacc-a0cfe5e118ac,Seattle,Market,
4,bb7b46ee-9d49-475d-9145-df7116fcc449,Denver,Market,
5,a89ebeca-324c-4269-9ea2-804d5d5e850c,San Francisco Bay Area,Market,
6,bc11d2e1-f5dd-478d-b9f6-574cf880bc7e,Atlanta,Market,
7,6085f0cf-b4fb-434d-b5cc-311272a35ec8,Austin,Market,
8,cee48f73-60ae-450c-8945-26cd846d5e05,Dallas/Ft. Worth,Market,
9,92ac44b6-fbee-49c7-9859-5ce20c0e0353,San Diego,Market,
10,7c5af956-d015-42ce-80ed-ad565d4a4e3b,Orange County,Market,
11,c7e3a708-a13d-4ef7-86ac-6fad99d2c3b2,EQR Portfolio,Portfolio,
