,group_id,group_name,group_des,group_risk_id
0,872014f4-8eeb-4d20-ba1a-2e993d693051,Boston,Market,
1,fbb70086-520d-476a-8a4d-08d766211023,New York - Manhattan,Market,
2,5418f1d0-eafc-4b18-ae65-5bf120294db0,Washington DC,Market,
3,9a2b1ed7-8ea9-42c7-9fdb-2bd3a7b686ae,Los Angeles,Market,
4,90531a53-0ad5-4337-aaf7-2ab49a58eb58,Seattle,Market,
5,843b94a1-f81c-42b5-b28f-e8d1f35b1dd2,Denver,Market,
6,bcbfa546-c860-424a-b0be-83ab63786e58,San Francisco Bay Area,Market,
7,465cdf90-dd20-4d1f-bc45-96ed20b436e5,Atlanta,Market,
8,942ff5ed-e9b5-4320-8994-149f326b4cc9,Austin,Market,
9,3305da31-f450-4ca0-b88e-1c10027750c5,Dallas/Ft. Worth,Market,
10,152523c3-13e7-4be9-a771-0edd10bceff0,San Diego,Market,
11,133b73fa-1000-476a-8766-4e9cfc573ecc,Orange County,Market,
12,1ac1077d-ff47-4860-8e58-a985548951f7,EQR Portfolio,Portfolio,
