,group_id,group_name,group_des,group_risk_id
0,d3720a2d-035a-45a6-8293-32f227e93b54,New York - Manhattan,Market,
1,b5c6f095-0640-455a-8ed8-d92b820f6514,Washington DC,Market,
2,48f44402-3b36-4753-9273-2fd1900b67c9,Los Angeles,Market,
3,0d6a5db6-cf99-4c4c-9361-9f431d1c588f,Seattle,Market,
4,0d06f5df-befa-4fcf-bcae-bbae78008bf1,Denver,Market,
5,8790404a-cc31-4fe8-b968-f8b394fae366,San Francisco Bay Area,Market,
6,798ff2fd-d650-4b55-9c7a-babdbe2c0d05,Atlanta,Market,
7,9483a5bd-df68-4273-aeb4-4f575ce8bb7a,Austin,Market,
8,d5e3c32e-aa70-465f-8747-dafcff3f8580,Dallas/Ft. Worth,Market,
9,3785a2f6-1e26-4bee-8ab0-635223fca95a,San Diego,Market,
10,a0fc77af-e16d-4888-bc1a-095f7d5877d0,Orange County,Market,
11,67e055c4-6b09-462b-83a4-b22e3aff37d6,EQR Portfolio,Portfolio,
