,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Risk ID 4,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Replacement Cost,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2052,Wildfire Hazard 2052,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2037,Flood Hazard 2037,Flood Risk 2052,Flood Hazard 2052,Extreme Heat Risk 2022,Extreme Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
0,53eb4a5f-c3c2-4005-9de4-619b866cb76e,18265e50-1e6c-4354-b144-95ac3abf07d8,2979687a-01ff-491c-addc-8ea8163f234a,f6843c52-72ea-46a9-a5bd-9179bca0b5e2,0d03413d-3d5a-4e78-a456-5547e7215623,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342,77669891.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,Very Low,Low,,,Low,Medium,Low,Medium,Low,Medium,Very Low,Medium-High,Very Low,Medium-High
1,985a1939-4262-4962-a392-69afca092243,8fd6da0b-86c5-4fab-a173-0fc4137a8a2d,8280e213-012f-4c57-b7ac-9d63a48218c8,1a41a4ad-3508-4602-905d-8e96ecb8f859,c7fe99bc-c7b9-483e-a428-1e6a6fe7a9ef,,19079,Hudson Point,131 Dudley Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2003,High-Rise,182,40.7126881,-74.039926791666,181132,184559132.0,PRIMARY_USE_RESIDENTIAL,279,6.0,Very Low,Low,Very Low,Low,,,Very Low,Low,Very Low,Medium,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
2,81ea9caa-e939-40a2-ab3e-d414f014eb9e,32bde317-73a9-4959-b006-da67a4ca85e0,d379d187-d626-434f-861c-7279c3b47cbd,4174da16-b2d0-4a56-acc6-cc7bb74346d8,7be4f5be-87c1-4e20-8a32-754686cab2b5,,19080,The Pier,1 Harborside Place,Jersey City,NJ,Hudson,7311,New York - Manhattan,Hudson Waterfront,1,2003,Mid-Rise,297,40.71932286,-74.0313291549683,301167,210651063.0,PRIMARY_USE_RESIDENTIAL,427,8.0,Very Low,Low,Very Low,Low,,,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Medium-High,Very Low,Medium-High
3,0c6f83ce-d31e-417d-abde-9868db97c880,d7df9e0a-1d5c-4773-8a3b-ca5516e8a82d,dffc0378-9529-42de-8c09-c1a8f2ea2905,019a4585-d6f1-462f-b8ff-ced3d375a98a,859ea983-5b10-4c4e-8e4b-53b6dce178ba,,19082,The Landings at Port Imperial,Four Avenue At Port Imperial,West New York,NJ,Hudson County,7093,New York - Manhattan,Hudson Waterfront,4,1999,Garden,276,40.78530325,-74.0020670530967,267313,272259646.0,PRIMARY_USE_RETAIL,440,4.0,Very Low,Low,Very Low,Low,,,Very Low,Medium,Very Low,High,Very Low,High,Very Low,Medium-High,Very Low,Medium-High
4,ee7ea5be-8cd8-40a3-b177-967df00b14df,aada0f8f-adc3-4017-bac4-534cfea1b65d,873c01eb-3734-407b-92f5-d1bc80352f4b,fcd02de7-d15b-4b0d-8bc9-4b0e7292135f,d3ef5676-459f-4428-a1c5-c3afd26d0760,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273,65521969.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,Very Low,Low,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
5,c8b32bed-d171-4f33-ae45-da5cb6dceba7,8d1f9222-1f39-475a-ac89-22f749cc8be7,22aee034-29f2-427f-bc34-54e720589858,47503904-39f8-4466-9243-fbbd8bbafe21,ec34847f-e0a7-4502-a1fa-9e0b9ea631e4,,19094,Portside Towers,155 Washington Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,2,1992,High-Rise,527,40.71248319,-74.0382738858869,563267,633579296.0,PRIMARY_USE_SCHOOL,842,25.0,Very Low,Low,Very Low,Low,,,Very Low,Low,Very Low,Medium,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
6,24ec0ebe-fd8c-46f1-8a1d-13ab2e72712c,bae20171-ef5d-4e06-ade8-8ab6e471a80a,2ff84d45-ade8-4b29-9b38-024626611b11,5379472d-76cd-4bc9-978a-182c38b8aaa3,e3ad2b05-a19f-47e6-871f-19b9e8716e45,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.0169982910156,266568,123776366.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,Very Low,Low,,,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium-High,Very Low,Medium-High
7,0e2b2af6-a6fc-4ecb-8ebd-e04225de0666,fbef283b-c7eb-44c3-ac3d-fb97eab53d3b,2e962f1b-b105-4471-9322-0b3b49a16eac,538aeb41-1b20-46b8-8be8-2aee643958b9,8de60666-9731-480c-a70e-42e581cae87b,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428,704878676.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,Very Low,Low,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
8,d1d38a08-a32c-49c8-a6c7-55096960f263,79ddf381-384a-4fdf-abf7-79810cc9d4d6,555cf3e4-214f-4b32-be3c-324fc338cbb5,15ca4523-4366-46c8-86a4-79ea209a405b,6f70fb82-a86d-4b92-8fb9-26ba77766e52,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832,89115817.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,Very Low,Low,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
9,da10db76-83ae-450f-9dfe-ae52481eb1f6,00a30bbe-3c69-4bed-8c3e-8a33b6b90f85,e68509e3-37fa-4044-bcde-4dad6ff5d3a0,3be1cef4-da06-423e-8019-1ce52616a39d,250e7bd9-57f3-45a5-ad45-95d0bd21ec5c,,19153,Hudson Crossing,400 West 37th Street,New York,NY,New York,10018,New York - Manhattan,Manhattan-Midtown/West,1,2003,High-Rise,259,40.755303,-73.9949,144445,190383532.0,PRIMARY_USE_RETAIL,293,14.0,Very Low,Low,Very Low,Low,,,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium-High,Very Low,Medium-High
