,group_id,group_name,group_des,group_risk_id
0,1a0929aa-6f87-4f02-b7e0-5391ede53370,EQR Portfolio,Portfolio,
1,5ddc33d6-f3f5-4b58-9725-952dba5dfd24,MA-Cambridge,Submarket,
2,12857717-e1b6-483f-a884-25f684e2f0e9,Hudson Waterfront,Submarket,
3,53d5af44-0a13-42c9-82da-c86fb4720770,128 South,Submarket,
4,93bad69b-e536-4e60-b0af-722bb90a6e4b,City of Boston,Submarket,
5,36803cad-0ad2-4415-b251-498e82bee7d6,Manhattan-Midtown/West,Submarket,
6,5b6da148-9e65-4632-b16e-323fc28ee431,Manhattan-Financial,Submarket,
7,4182314d-4e1d-47bc-9c47-394d6a27fb39,Manhattan-Upper West Side,Submarket,
8,eb546ba8-0d1f-4302-a365-90d4f35232ee,VA-Arlington-RB Corridor,Submarket,
9,c2663a07-2793-4e24-8b07-9846502186e6,Manhattan-Chelsea,Submarket,
10,1708912b-8214-4b12-afe8-fd475396bbe7,VA-Fairfax,Submarket,
11,aa7a402f-824e-4404-ad05-07a0012e699a,VA-Alexandria,Submarket,
12,8949c601-8f19-4674-a6ba-9bb995d66ae6,DC-Central,Submarket,
13,9b15ad06-03a7-4b4a-bf04-dbd81d865cd2,MD-Silver Spring,Submarket,
14,73aae935-ea41-4253-b1b4-7d79bfad0cf2,NY-Suburbs,Submarket,
15,009a66f6-9fe9-4298-9381-5af56ecc1ca9,128 North,Submarket,
16,3af694d1-dab2-4298-a428-48140880403c,MD-Prince George,Submarket,
17,56704987-759c-4b43-998f-8f3d0e6e09a0,128 West,Submarket,
18,e07f5fe3-0825-4d57-a4ef-4eefc57c1e9b,VA-South Arlington,Submarket,
19,4246102c-561f-413c-923d-0a5d64484804,Brooklyn,Submarket,
20,868d53ff-8df4-476d-84ea-08ef297a6aa1,Manhattan-Gramercy,Submarket,
21,fde90eb9-2b72-4591-90c2-b96dda058c0c,Hollywood/Mid Wilshire,Submarket,
22,2472e5ef-75b7-486f-94ad-37df6476fc39,West Los Angeles,Submarket,
23,3d2c093d-9f33-487e-a6a4-2c290be09cb9,West Seattle,Submarket,
24,a23334e0-29ed-41f6-8cd5-1a49a0a010ab,Bellevue/Redmond,Submarket,
25,45c8c6fd-adb5-4321-9988-bd956e457ea2,Capital Hill/First Hill,Submarket,
26,b360abab-d8c6-4874-ad00-fa3f2075e2dc,CBD/Cherry Creek,Submarket,
27,c8a73f16-0bc6-490e-bbb5-ff45de9f4597,South Lake Union,Submarket,
28,7752862b-298d-439d-a3de-f0b35ed12920,MD-Rockville/Gaithersburg,Submarket,
29,0de59d70-c279-478d-a776-bb1d6cb1ab6e,Castle Rock,Submarket,
30,0a98692e-c71b-44b4-8f3e-ca1e9118b0e1,Northwest Denver,Submarket,
31,88250e8a-8b5c-4999-a9be-98bfefaae3c0,Downtown CBD,Submarket,
32,21ed7478-e535-4f89-afe2-f43cf40566f6,SF-South Bay,Submarket,
33,238ac193-0314-4895-8908-461475645732,SF-East Bay,Submarket,
34,1a55d637-3bae-4aa2-9a09-cd9d0e99118e,SF-Peninsula,Submarket,
35,f7775454-387a-42c4-8815-f6ebdb885ff3,North Seattle,Submarket,
36,bc2f6836-b4d0-4884-ae97-bf4f0227840a,Northeast Denver,Submarket,
37,1edba380-39b9-4f10-9fbf-2af5e2a057e5,Midtown,Submarket,
38,299e06c4-1c23-419a-8771-d9d4d08cc809,Central Austin,Submarket,
39,cd66c20e-000a-4485-b1bc-f13fa03aa3a1,TX-DFW-Far North Dallas,Submarket,
40,75afd286-6a09-40d5-b733-963ef001e962,TX-DFW-Intown/Oaklawn,Submarket,
41,20eda0cd-291c-4508-970f-c3c58b879e14,GA-ATL-NW,Submarket,
42,e3ddcff0-6cbf-4d64-9f47-4808d848182b,TX-DFW-West Dallas,Submarket,
43,d9feeaaa-d0e8-4a78-805b-17240b4e34aa,Perimeter,Submarket,
44,5d862c1c-0b4a-48c2-91f3-72fd4a960792,I-5 Corridor,Submarket,
45,34092c30-a30e-4f3f-a5c9-16022d2fe67b,East Austin,Submarket,
46,7d457181-66aa-4ad2-af41-8de2933f128b,Glendale/Pasadena,Submarket,
47,a58fcfd7-525c-4688-af48-da1828ace690,Belltown/CBD,Submarket,
48,968956fa-c951-4454-aee3-9479f11cd832,SF-Downtown,Submarket,
49,a5d51495-0450-4c62-afa9-37517b222d9a,Bothell/Mill Creek Corridor,Submarket,
50,3817b7db-9e49-482d-94f1-2e586b9f9150,South Orange,Submarket,
51,03f0fec7-295b-4d4f-88b0-c701e5777823,I-15 Corridor,Submarket,
52,5595db0d-6b36-460c-b8d0-bdf7e315708b,South Bay,Submarket,
53,b646bb93-20cb-417c-b465-5c5705df768e,North Orange,Submarket,
54,8ffcf365-7951-4d27-8ead-98684a56bba5,Inland Empire,Submarket,
55,63747bfd-45d6-4847-b6f7-66d460adc484,Ventura County,Submarket,
56,5a9710ef-0a83-43bb-8f75-f59e00a1883b,San Fernando Valley,Submarket,
57,74073e99-d26d-46b5-940a-6f8619d7aac0,Santa Clarita Valley,Submarket,
58,b80287eb-1c4c-46c1-8fa2-61a511274b05,Downtown San Diego,Submarket,
59,e02e2bd2-1dc0-4384-9a75-353246860280,MD-Bethesda/Chevy Chase,Submarket,
60,63928766-0696-4146-b12d-d3fff86ba249,SD-South County,Submarket,
61,8a73551f-0e8f-4b79-ad4c-3b71e1e2a800,DC-Upper NW,Submarket,
62,73577dd2-d0f7-40f5-888b-98d680128cdd,Manhattan-Upper East Side,Submarket,
