,group_id,group_name,group_des,group_risk_id
0,192bbe2e-13d2-4d58-9ec5-792e4d7bb151,New York - Manhattan,Market,
1,74beb273-7045-4fb2-9524-fbce3b661874,Washington DC,Market,
2,b1344269-54eb-41f3-a165-3e078c8d1828,Los Angeles,Market,
3,92ea8e5c-a04d-4e0b-844c-95a841ce4ec3,Seattle,Market,
4,042392c6-8cad-4c5b-b954-13ded885c742,Denver,Market,
5,1eded20c-aad8-44e1-a1da-a4425cc69755,San Francisco Bay Area,Market,
6,4256f653-db86-4826-93a7-8464e4f55759,Atlanta,Market,
7,232d06a5-201e-402c-b55a-34f18bf6f1f7,Austin,Market,
8,6baa985d-e641-42b3-ab5f-a97d18c5fc7c,Dallas/Ft. Worth,Market,
9,90d324d1-2c72-48fd-bcb2-9a503858884b,San Diego,Market,
10,37e20816-271b-4a52-a3c3-b9ff11765279,Orange County,Market,
11,af66fd5d-2b29-45f7-8752-19513435b8c8,EQR Portfolio,Portfolio,
