,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2030,Flood Hazard 2030,Flood Risk 2050,Flood Hazard 2050,Extrem Heat Risk 2022,Extrem Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
0,9bf9fa08-95e3-4eea-b2da-3d111bfdf6c4,3ba7dc08-496f-41b9-91b6-841be3d4aa64,e7afce3b-9ae5-4582-b780-68041dc18b6b,c53f2b6a-8a8c-47ed-a032-f8166980bcf2,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
1,4a6a606c-4e8e-4354-a1d1-9a456f872683,75051b9f-8f6e-49de-aa86-4e727742042d,6379cdd2-6363-475c-9d18-729cb4da02eb,08c64807-1c4c-469c-a1eb-e9a828c705de,,19079,Hudson Point,131 Dudley Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2003,High-Rise,182,40.7126881,-74.03992679,181132.0,PRIMARY_USE_RESIDENTIAL,279,6.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Moderate,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
2,f7834cab-fec0-465d-938c-21ee04cfca70,f36ec12d-aff8-402b-a81d-b51fd797ffa2,e853bbc4-5d89-4d34-84e2-85f7fd680f32,7cf45d71-91f7-41b1-bd32-07b753225fe6,,19080,The Pier,1 Harborside Place,Jersey City,NJ,Hudson,7311,New York - Manhattan,Hudson Waterfront,1,2003,Mid-Rise,297,40.71932286,-74.03132915,301167.0,PRIMARY_USE_RESIDENTIAL,427,8.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
3,7a3feddc-b4c5-4334-91b5-6779d59e407a,632561f3-9e1e-4f7a-8fd9-3d64cb9747b6,32a2ed0d-d4d6-4283-9182-b4a3542ca1fb,7f60a8a2-97ce-4bd6-a261-6f12c088e662,,19082,The Landings at Port Imperial,Four Avenue At Port Imperial,West New York,NJ,Hudson County,7093,New York - Manhattan,Hudson Waterfront,4,1999,Garden,276,40.78530325,-74.00206705,267313.0,PRIMARY_USE_RETAIL,440,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,High,Very Low,High,Very Low,Moderately High,Very Low,Moderately High
4,85985c08-d9d7-44d0-a257-da6c1839e81c,bc448d8f-3926-49ee-9f3a-3f10d5523266,d46a662f-2dbe-4cd7-a9f2-29213ba4d1ed,bba59247-1c2a-4f2a-81e4-83baf8a07e1d,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
5,666396ca-5fce-44d1-ace3-ac8bb8522b10,63d6dcb4-806d-4938-9461-e682d4bd2547,b4665b3e-ab83-4347-831b-eefdd28729fc,73c9a7c3-78d3-4046-b9bf-592aef0208da,,19094,Portside Towers,155 Washington Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,2,1992,High-Rise,527,40.71248319,-74.03827389,563267.0,PRIMARY_USE_SCHOOL,842,25.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
6,af4bace8-91e5-493e-b374-94fdc2c11add,60098f26-87b7-4212-8916-9346ec8cb63b,baea68c9-88f4-4212-aded-bc828fd7bbfd,2d3463f2-d98e-4595-b782-50fedafa4973,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.01699829,266568.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
7,56e0033d-94de-4d79-891b-49a71b9b1306,30ade8e9-3e76-460d-99a4-979797999910,d8af9375-4e5b-4b6c-a906-0413531f8c11,c43ac530-5c5e-4311-8709-765c98846a0e,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
8,27c3b0da-fbac-4cda-a1c1-8f90cf9e2b52,e1c41b85-b938-4d21-84bc-25838eec9534,89a9e992-87f7-43a2-9908-fcaf734f4ff1,76427a09-8b51-46ab-b6dd-b10a84995e6c,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
9,8232f477-1fb3-4ed5-9c88-235043bfdbfd,aa4a6462-7d7f-415e-99bc-4584cf6ab9c0,b167e924-41fb-4e61-9b94-6a4187cf67c5,a19f3d28-4096-4a6e-8cde-9d4b7a4e1940,,19153,Hudson Crossing,400 West 37th Street,New York,NY,New York,10018,New York - Manhattan,Manhattan-Midtown/West,1,2003,High-Rise,259,40.755303,-73.9949,144445.0,PRIMARY_USE_RETAIL,293,14.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
