,group_id,group_name,group_des,group_risk_id
0,97854229-222c-4c0f-b198-4615b44d006c,Boston,Market,
1,a44e7f7d-09da-4f0e-860a-cfe2e4f55dc1,New York - Manhattan,Market,
2,2f86baa1-406d-4210-b595-2ddc49a2fb4f,Washington DC,Market,
3,e315a9b2-917f-4cad-b346-000d0b4d59c5,Los Angeles,Market,
4,8d4e7920-630b-4584-be41-a32727f2d0d8,Seattle,Market,
5,9d2cd464-7735-49da-b849-dd3cb76f0d04,Denver,Market,
6,b289ea18-1a30-4133-997f-3b85fe158603,San Francisco Bay Area,Market,
7,af820d99-0a5e-42dd-9d15-548853d1946f,Atlanta,Market,
8,30fdc221-27d5-4f6f-a5a3-fe1dfe4d00fa,Austin,Market,
9,39cc3c0e-645b-4238-96c2-265724595ca3,Dallas/Ft. Worth,Market,
10,4d0a57ac-946a-413b-b7ce-900af94d286c,San Diego,Market,
11,adc9fba0-a334-4179-976f-6f35dc7cf700,Orange County,Market,
12,89752243-c3e8-4ddc-9e8f-70311e6c3e3e,EQR Portfolio,Portfolio,
