,group_id,group_name,group_des,group_risk_id
0,0c2fde4d-11b8-4732-b97d-b55242e9275b,Boston,Market,
1,ba630334-fe55-451d-8a32-544cfabc30a7,New York - Manhattan,Market,
2,0087a7bd-3df1-424f-bb1c-545bde25420a,Washington DC,Market,
3,04d3ae10-c3b1-42d8-be18-95458d284c23,Los Angeles,Market,
4,f696adfb-84d4-4d39-8844-91d2298fc594,Seattle,Market,
5,98ed6625-ed05-4724-baaa-5cf477b5b057,Denver,Market,
6,34110d3e-cd16-4326-9552-7d1cd6440f37,San Francisco Bay Area,Market,
7,a710e8fc-eacd-452b-ad48-0f37b38d8aba,Atlanta,Market,
8,bbcd2de9-2c1f-45f9-8f92-de736554ccba,Austin,Market,
9,2b76f4a9-f961-469e-851b-07817a92a12b,Dallas/Ft. Worth,Market,
10,5b190ee6-00cf-439d-be25-1ae674c9a8c1,San Diego,Market,
11,c2960c35-b0e5-4286-a828-e2cf8a95652f,Orange County,Market,
12,dbfdc6c8-616f-405c-a5fb-ca3ce42a3331,EQR Portfolio,Portfolio,
