,group_id,group_name,group_des,group_risk_id
0,f11253ee-2b23-4142-827b-4fd24eb36e21,New York - Manhattan,Market,
1,4a0f65f6-93f2-4494-9c22-6872968a69e8,Washington DC,Market,
2,805911be-4763-4c35-a23e-994172e29397,Los Angeles,Market,
3,5c8bc2ef-59e5-49da-b275-e0a2cd6f46bd,Seattle,Market,
4,809365dd-73ce-4e93-a47c-4913172d053c,Denver,Market,
5,0885bd83-74fd-4755-b544-d376211a5b89,San Francisco Bay Area,Market,
6,cf21f3cf-af74-4bc0-adc5-8a137447eb04,Atlanta,Market,
7,c9b4397b-7194-4d74-8eaf-2e8e09f87f5a,Austin,Market,
8,69bffef5-be14-4c40-9d98-c462d8427b00,Dallas/Ft. Worth,Market,
9,5111fbcc-5ebc-4378-8052-51a273287875,San Diego,Market,
10,182e7976-8398-404c-aaab-f059d4086c75,Orange County,Market,
11,d2214a41-a5b5-4517-bc1d-bb2da7f695e0,EQR Portfolio,Portfolio,
