,group_id,group_name,group_des,group_risk_id
0,38614d51-2da7-41fc-ac0b-28c609281f5a,New York - Manhattan,Market,
1,63c63703-923e-408d-a239-db2d823653cc,Washington DC,Market,
2,3917af46-5451-4b68-8f67-ba894ff7da73,Los Angeles,Market,
3,1b352fba-6e6c-462c-a0d2-19d782326f4b,Seattle,Market,
4,1172fbcc-dfdd-4749-994f-68c8d8b88853,Denver,Market,
5,9763c571-d329-4ffd-8027-9d60058bf211,San Francisco Bay Area,Market,
6,e3a6d937-7f75-4bfd-bdbb-190caea8edd2,Atlanta,Market,
7,6abe12ad-a55b-4d52-85ec-7a9bc53b1385,Austin,Market,
8,2f3e4535-847f-4c14-9d50-d3decf4a41c5,Dallas/Ft. Worth,Market,
9,b6644950-78c6-4c70-8909-9d54f79fa51d,San Diego,Market,
10,1f698548-e7ea-4a3d-87d9-e18fd095af46,Orange County,Market,
11,c33aa5bd-36e6-42a2-8dbf-adb641493e1f,EQR Portfolio,Portfolio,
