,group_id,group_name,group_des,group_risk_id
0,b0d2d530-92a5-4bc7-9133-9da0960541a0,Boston,Market,
1,6c478e66-a182-48e6-8fc9-7f94935b28b6,New York - Manhattan,Market,
2,032f432b-94dd-4f19-b6fd-ed64dc48ceda,Washington DC,Market,
3,03422247-5cd4-4124-87e2-53e434360a8c,Los Angeles,Market,
4,d4e2ffc9-ed44-4337-986f-94960d85aebd,Seattle,Market,
5,4ec88e3f-23b5-4268-a952-d06e713a01a2,Denver,Market,
6,52c26002-7eeb-43ff-8640-5a2442cea11f,San Francisco Bay Area,Market,
7,938cf43b-5bf2-47ea-a9dc-aa133c90a0ed,Atlanta,Market,
8,7b3920be-8a1c-4302-90cd-cc32ea17520a,Austin,Market,
9,e076236e-7fa6-47a0-beea-5b899a4bb3e0,Dallas/Ft. Worth,Market,
10,5833b6b2-4069-464e-808c-8312bb10bdff,San Diego,Market,
11,ef7e09d1-c4f7-4583-97a1-379b6988122e,Orange County,Market,
12,2540de9d-bed8-481f-ae50-33a7b6e186b3,EQR Portfolio,Portfolio,
