,group_id,group_name,group_des,group_risk_id
0,a76a455b-2a81-4fea-a787-f47f0fc072f5,Boston,Market,
1,5cbed0f9-2cf4-4cca-a04c-59a88cfa68f6,New York - Manhattan,Market,
2,8add372b-1106-424f-a2d4-470413b235ee,Washington DC,Market,
3,e1ded6c7-9226-4efd-80cc-d64ae6818422,Los Angeles,Market,
4,7de98807-90ef-4df6-add3-79a909eb1399,Seattle,Market,
5,0e8735ad-8354-4879-ac04-626bb4d17e6a,Denver,Market,
6,9e7603f8-93c8-4d3f-b1a9-4768828508e3,San Francisco Bay Area,Market,
7,5c709315-09ad-4a82-a361-f65a4f217519,Atlanta,Market,
8,f8a6f1d9-0d15-4cff-b65a-d5da9a23ace9,Austin,Market,
9,e8074856-f04e-48ee-8063-12f49abdd1f1,Dallas/Ft. Worth,Market,
10,510a861e-a07b-49d7-8838-b916082c539b,San Diego,Market,
11,e57348c5-0204-4713-9bd0-cd44883fc2ad,Orange County,Market,
12,a7f11c4b-8c20-4b04-81b2-1c79dd9b2a67,EQR Portfolio,Portfolio,
