,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2030,Flood Hazard 2030,Flood Risk 2050,Flood Hazard 2050,Extrem Heat Risk 2022,Extrem Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
0,9e394154-6291-405c-8850-350307db4f74,e777cc20-df87-46f5-a785-fb3b9ec43c93,1fca614a-dbc5-4e80-b460-a21949e2860f,b9584391-751a-4fac-9ab7-f68bdad295dd,,19038,929 Mass Apartments,929 Massachusetts Avenue,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,2,1975,High-Rise,127,42.368602,-71.109089,73342.0,PRIMARY_USE_HEALTHCARE,161,18.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
1,0ca5924f-e36e-4e90-8d4a-c04d34bf9c57,b38ca9cd-2f85-4c16-8030-7cbe236795a9,5387fad9-3d27-4c3f-a04f-a70759500d7f,92346cc8-e64b-461b-88d2-2b810d75dbd9,,19079,Hudson Point,131 Dudley Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2003,High-Rise,182,40.7126881,-74.03992679,181132.0,PRIMARY_USE_RESIDENTIAL,279,6.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Moderate,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
2,1c8b17e9-6e8a-42f3-80bf-d1063aac590d,c669831d-b429-49c1-a4d8-796d5194d3a4,84b78cd2-8345-4205-b88a-346311fc15ab,7e4fa913-080e-4e96-be1f-0755bd4c0717,,19080,The Pier,1 Harborside Place,Jersey City,NJ,Hudson,7311,New York - Manhattan,Hudson Waterfront,1,2003,Mid-Rise,297,40.71932286,-74.03132915,301167.0,PRIMARY_USE_RESIDENTIAL,427,8.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
3,1dfd2491-42bf-4698-ba76-80f10f04d3ba,9c99fccd-66d5-46cb-ac6b-8c681c66b9b3,174e2e20-0db9-4ff1-a2c2-168fde050086,d56df475-8189-43c7-909b-d33855cc8adf,,19082,The Landings at Port Imperial,Four Avenue At Port Imperial,West New York,NJ,Hudson County,7093,New York - Manhattan,Hudson Waterfront,4,1999,Garden,276,40.78530325,-74.00206705,267313.0,PRIMARY_USE_RETAIL,440,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderate,Very Low,High,Very Low,High,Very Low,Moderately High,Very Low,Moderately High
4,21cc3a66-a379-4454-9ab7-5f20a7a317d2,b0e3f181-4ec0-4dff-9c7c-c574586c1cca,b8fab125-6e5e-4a99-bc50-809285be8eda,a03846de-a1dc-464a-96ce-97848b29861f,,19083,Rosecliff,790 Willard St,Quincy,MA,Norfolk,2169,Boston,128 South,3,1990,Garden,156,42.229554,-71.030012,144273.0,PRIMARY_USE_RESIDENTIAL,237,4.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
5,35bc0762-d921-4de7-9d3f-c6da0b28668a,5bcb9e25-6c10-4196-aeca-f69093ba78f9,168a6553-4a94-4eb3-a6cf-b8df4c1b6db7,337c54ad-5d5e-4cd2-9f7b-dcb01a332ca5,,19094,Portside Towers,155 Washington Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,2,1992,High-Rise,527,40.71248319,-74.03827389,563267.0,PRIMARY_USE_SCHOOL,842,25.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Medium,Very High,Medium,Very High,Medium,Very High,Very Low,Moderately High,Very Low,Moderately High
6,f8178122-0c89-46b5-a378-b714f5f56ba2,aedc666b-96a8-40bf-b9f0-40d623c87dbe,3dfbb217-46ec-4bf4-8807-6c66042944e1,cc1f6e6c-d2a4-42a3-8cf4-502a8f16c668,,19096,Lincoln Heights,175 Centre Street,Quincy,MA,Norfolk,2169,Boston,128 South,17,1991,Garden,336,42.23941611,-71.01699829,266568.0,PRIMARY_USE_RESIDENTIAL,456,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
7,a88f0adf-fa2d-4efa-85de-a98675bf40e0,99cc75f4-cbab-49b6-a62b-8335946133f9,7b233c7c-2d21-4169-a236-c734162d281b,d9a2bc1e-f846-4bcb-a9b6-0c3ec83ca69b,,19137,The Towers at Longfellow,72 Staniford Street,Boston,MA,Suffolk,2114,Boston,City of Boston,2,1975,High-Rise,710,42.362846,-71.063872,703428.0,PRIMARY_USE_HEALTHCARE,946,39.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
8,ffadc1cd-1abf-4cc0-a929-32c361b5a30f,5fb1f7fe-2110-4aa2-8aca-8b7415f43772,a1a2c11e-4ac2-4d8a-af29-ec76d8a17fbc,48a09247-2bbb-4fa8-a598-a83b03616577,,19145,Liberty Park,1 Matthew Lane,Braintree,MA,Norfolk,2184,Boston,128 South,30,2000,Garden,202,42.194388,-70.979712,197832.0,PRIMARY_USE_RESIDENTIAL,330,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
9,05f4f9e3-6c25-4366-a8f6-4bcb0da24714,40152425-5969-4dc3-b146-aec3f61524cf,7cdd8aac-6851-4d2d-b7f8-39c7b398be90,2195ed6e-911f-4ff6-8c7f-d18d15a10105,,19153,Hudson Crossing,400 West 37th Street,New York,NY,New York,10018,New York - Manhattan,Manhattan-Midtown/West,1,2003,High-Rise,259,40.755303,-73.9949,144445.0,PRIMARY_USE_RETAIL,293,14.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
