,group_id,group_name,group_des,group_risk_id
0,63fe50c3-7d4f-43d8-828a-8579082359c3,New York - Manhattan,Market,
1,9b9e4805-f2d9-4508-9fb0-2dabdfd6b362,Washington DC,Market,
2,68e7b941-7ce7-4df1-b560-7497749df93c,Los Angeles,Market,
3,3ef517d4-99f5-4e74-880c-a65c8f0d9d9c,Seattle,Market,
4,9333f59e-f18b-4d49-8002-05f5868f2303,Denver,Market,
5,dd5056d0-cf9c-4f5b-8c55-34bc05da9d8d,San Francisco Bay Area,Market,
6,d32b67a6-6f28-43a4-bd48-858399c373b1,Atlanta,Market,
7,221d816e-8b65-4d29-bcd8-09cff42d82cd,Austin,Market,
8,8978d3f0-eb5a-41bc-b3cd-b1aeba62be4f,Dallas/Ft. Worth,Market,
9,4f3f82dd-3c39-4be8-8b6a-affc54669605,San Diego,Market,
10,be3027cc-82be-4e60-95b8-e21c07a74dba,Orange County,Market,
11,5a116bee-3374-4c20-bd10-06e7e29ae1ec,EQR Portfolio,Portfolio,
