,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Risk ID 4,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Replacement Cost,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Driver 2022,Flood Risk 2037,Flood Hazard 2037,Flood Driver 2037,Flood Risk 2052,Flood Hazard 2052,Flood Driver 2052,Extreme Heat Risk 2022,Extreme Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050,Drought Risk 2022,Drought Hazard 2022,Drought Risk 2050,Drought Hazard 2050
10,b56a327f-9ac3-464f-a99d-ec8cdec19421,faa63e6d-0a72-47b2-b2c6-c936602d5f03,b182fa2a-717f-4fac-8f75-924569dd617d,f5d8266c-514c-42d4-b942-ab9e8e963b07,b6ec4107-34d0-4301-a353-b4f062fa8c22,,19158,71 Broadway,71 Broadway,New York,NY,New York,10006,New York - Manhattan,Manhattan-Financial,1,1897,High-Rise,238,40.70742535,-74.0119528770447,185905,245055425.0,PRIMARY_USE_FOOD_SERVICE,299,25.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
11,62e7cf17-6a86-415e-8219-d1264d925e49,1fae69ed-5ced-44a7-865f-a5fb16f34b77,93d91124-69ee-4199-802e-043dfbe8cb44,109340f1-e5df-4cf6-917c-8d49635d666d,d684916c-d008-4384-8dec-cafc39b39920,,19163,180 Riverside Boulevard,180 Riverside Boulevard,New York,NY,New York,10069,New York - Manhattan,Manhattan-Upper West Side,1,1998,High-Rise,516,40.778449,-73.988156,391226,515338586.0,PRIMARY_USE_SCHOOL,594,45.0,Very Low,Low,Very Low,Low,Very Low,Low,Medium,Very High,['coastal'],Medium,Very High,['coastal'],Medium,Very High,['coastal'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
12,689cfeb1-a801-4529-b0cf-6dbbda852e41,5a03b825-a654-4442-b424-2518b86c9307,4ad2132c-d5b1-42b4-abad-babd993405d3,cc1b5d5e-7865-404f-a961-f16f65289fa0,d919d5b4-a1c5-409d-8317-aabd1bdff911,,19176,The Prime,1415 North Taft Street,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,1,2002,High-Rise,281,38.89037595,-77.0814029711295,265293,163604403.0,PRIMARY_USE_RESIDENTIAL,390,15.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Medium,Very Low,Low
13,d787aa92-f517-4e25-99d9-df774cf5a5af,7f15e879-14d0-411c-afad-d965706f46c2,3cb1610e-5be0-41e8-a1ab-8fecef797548,325862c9-7dd9-4152-b7e4-844dfa0e6fef,907a24c0-8442-4935-a3ac-0184541c91e1,,19178,Ten23,500 W. 23rd Street,New York,NY,New York,10011,New York - Manhattan,Manhattan-Chelsea,1,2011,High-Rise,111,40.74768257,-74.0042117324961,76880,82162383.0,PRIMARY_USE_RETAIL,137,13.0,Very Low,Low,Very Low,Low,Very Low,Low,Low-Medium,High,"['pluvial', 'coastal']",Low-Medium,High,"['pluvial', 'coastal']",Low-Medium,High,"['pluvial', 'coastal']",Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
14,f3b08ef0-8f67-4949-a59f-08531e1d9c4f,db337ddc-47c2-4dc9-bef9-f04c80c75b21,fb6c4761-37b7-4c28-bcd6-a4d1029b984f,8ab62939-ee13-4ff9-8765-50a96a16d5ea,9c75bfaf-9cdf-426d-8c35-89a7f97abd4d,,19179,Parc 77,50 West 77th Street,New York,NY,New York,10024,New York - Manhattan,Manhattan-Upper West Side,1,1903,High-Rise,137,40.780464,-73.975879,73643,97168665.0,PRIMARY_USE_OFFICE,138,14.0,Very Low,Low,Low,Medium,Low,Medium,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
15,e0024086-fa40-4ba8-abbb-59c1897fb3fe,66a4ac92-6e43-4b03-a75f-1f83e9531e31,8dbf0950-9cec-46c4-b118-615000b1422b,cfd37f01-9972-4c71-9004-85c025efa082,f17d3629-a8bf-45a2-9b5d-671fb172fea9,,19180,Parc Cameron,41 West 86th Street,New York,NY,New York,10024,New York - Manhattan,Manhattan-Upper West Side,1,1927,High-Rise,166,40.786056,-73.97119,78374,103369711.0,PRIMARY_USE_FOOD_SERVICE,173,17.0,Very Low,Low,Low,Medium,Low,Medium,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
16,b6802d52-e967-4326-b3a7-28016cd9f12b,58fdbbf9-57fb-4d40-9a9b-f77b90052459,29dad771-657f-4e56-a47f-46c6c642598f,1083ea7d-6021-407c-867f-3bd060e7aeae,b3b0c393-1220-456d-afec-60e8efaa9e3c,,19183,Parc Coliseum,228 West 71st Street,New York,NY,New York,10023,New York - Manhattan,Manhattan-Upper West Side,2,1910,High-Rise,177,40.778508,-73.983488,94190,124215315.0,PRIMARY_USE_HEALTHCARE,191,16.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
17,1e164fcf-42ed-453e-8b26-811ab0452627,d2d61da9-c686-4772-9f91-8003319e4b3a,b9e8bcb5-beca-4f04-81b5-4965c65960f8,99964951-3a07-47a7-a500-74020f0c6179,f8bf871b-b578-4e02-a6f7-f32628cdcaac,,19206,Sheffield Court,701 North Wayne Street,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,37,1986,Garden,597,38.88207266,-77.0860083077432,394256,156625512.0,PRIMARY_USE_RESIDENTIAL,645,4.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Medium,Very Low,Low
18,0578e550-1fa4-452e-88ee-de9c173493bd,6867e2fd-0b1e-4163-b1b4-0430933c9f70,d942f1f0-50ee-446e-9609-f408ddf777af,108e66b9-122e-480a-826c-c17a6e68e49c,08e48ba2-68e7-4602-a1a8-7bb7a7ef033f,,19216,The Reserve at Fairfax Corner,11727 Fairfax Woods Way,Fairfax,VA,Fairfax,22030,Washington DC,VA-Fairfax,24,2001,Garden,652,38.85807926,-77.3536282949218,616722,225150911.0,PRIMARY_USE_RESIDENTIAL,1044,4.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Low,Very Low,Low
19,b112dd56-5d61-4f73-8216-eac29c4d2dfc,df91890e-43ca-47ec-8ae3-ac7c2d6cc71a,be1da111-1d76-4b0d-83cf-8cced083ffe0,3b8dc103-7a8c-41a1-851a-bb43d04cff01,8befa58c-40b3-4ffa-8bad-f90636434df3,,19217,The Reserve at Eisenhower,5000 Eisenhower Avenue,Alexandria,VA,Alexandria City,22304,Washington DC,VA-Alexandria,5,2002,Mid-Rise,226,38.80325817,-77.1192078632788,227897,79553382.0,PRIMARY_USE_RESIDENTIAL,356,5.0,Very Low,Low,Very Low,Low,Very Low,Low,Low,Medium,['pluvial'],Low,Medium,['pluvial'],Low,Medium,['pluvial'],Very Low,Medium-High,Very Low,High,Very Low,Low,Very Low,Low
